check,flag,value,record_start,record_end,flagged_timestamps,message,basin_id,series,check_group,threshold,expected_timestep,series_type,status
negative_discharge,False,0.0,,,[],Negative discharge count = 0.,GRDC_6341500,obs,basic,,,,
duplicate_timestamps,False,0.0,,,[],Duplicate timestamp count = 0.,GRDC_6341500,obs,basic,,,,
timestep_consistency,False,0.0,,,[],Irregular daily timestep count = 0.,GRDC_6341500,obs,basic,,1 day,,
missing_values,False,0.0,1980-01-10 00:00:00,2023-05-19 00:00:00,[],Internal missing day count = 0.,GRDC_6341500,sim,basic,,,,
long_gaps,False,0.0,,,[],Longest internal missing gap = 0 day(s).,GRDC_6341500,sim,basic,>3 consecutive missing days,,,
negative_discharge,False,0.0,,,[],Negative discharge count = 0.,GRDC_6341500,sim,basic,,,,
duplicate_timestamps,False,0.0,,,[],Duplicate timestamp count = 0.,GRDC_6341500,sim,basic,,,,
timestep_consistency,False,0.0,,,[],Irregular daily timestep count = 0.,GRDC_6341500,sim,basic,,1 day,,
zero_flow_regime,False,0.0,,,[],Zero-flow ratio = 0.000; zero-flow count = 0; zero-flow spells = 0; longest zero-flow spell = 0 day(s); zero-flow months = [].,GRDC_6341500,obs,behavioural,,,obs,descriptor
low_variability,True,11.0,,,"['2005-10-14 00:00:00', '2005-10-15 00:00:00', '2005-10-16 00:00:00', '2005-10-17 00:00:00', '2005-10-18 00:00:00', '2005-10-19 00:00:00', '2005-10-20 00:00:00', '2005-10-21 00:00:00', '2005-10-22 00:00:00', '2005-10-23 00:00:00', '2005-10-24 00:00:00']",Low variability uses 21-day rolling CV and rolling range; month-wise lower quantile = 0.01; spell-length threshold learned from series = 10.8 timestep(s); flagged timesteps = 11.,GRDC_6341500,obs,behavioural,,,obs,completed
spike_dip,False,0.0,,,[],Spike/dip candidates = 0; local deviation threshold learned from Q0.990; neighbour consistency threshold learned from Q0.500; minimum discharge threshold learned from Q0.900.,GRDC_6341500,obs,behavioural,,,obs,completed
step_shift,False,0.0,,,[],Step-shift candidates = 0; method = 14-day before/after rolling median; threshold learned from step-score Q0.995; requires stable before/after windows and persistent after-level.,GRDC_6341500,obs,behavioural,,,obs,completed
gradual_drift,False,0.0,,,[],No gradual drift candidate detected.,GRDC_6341500,obs,behavioural,,,obs,completed
zero_flow_regime,False,0.0,,,[],Zero-flow ratio = 0.000; zero-flow count = 0; zero-flow spells = 0; longest zero-flow spell = 0 day(s); zero-flow months = [].,GRDC_6341500,sim,behavioural,,,sim,descriptor
low_variability,True,9.0,,,"['2010-02-03 00:00:00', '2010-02-04 00:00:00', '2010-02-05 00:00:00', '2010-02-06 00:00:00', '2010-02-07 00:00:00', '2010-02-08 00:00:00', '2010-02-09 00:00:00', '2010-02-10 00:00:00', '2010-02-11 00:00:00']",Low variability uses 21-day rolling CV and rolling range; month-wise lower quantile = 0.01; spell-length threshold learned from series = 8.8 timestep(s); flagged timesteps = 9.,GRDC_6341500,sim,behavioural,,,sim,completed
spike_dip,True,1.0,,,['2005-03-19 00:00:00'],Spike/dip candidates = 1; local deviation threshold learned from Q0.990; neighbour consistency threshold learned from Q0.500; minimum discharge threshold learned from Q0.900.,GRDC_6341500,sim,behavioural,,,sim,completed
step_shift,False,0.0,,,[],Step-shift candidates = 0; method = 14-day before/after rolling median; threshold learned from step-score Q0.995; requires stable before/after windows and persistent after-level.,GRDC_6341500,sim,behavioural,,,sim,completed
gradual_drift,False,0.0,,,[],No gradual drift candidate detected.,GRDC_6341500,sim,behavioural,,,sim,completed
